Organization ID,Organization Name,Reg Form,Signatory,T&C,Org Type,Callink Page,OASIS RSO Designation,OASIS Center Advisor 
236738,#BUILTBYGIRLS @ Berkeley,Not Started,1,In Progress,NEW ORG PENDING FINAL COMPLETION OF APPROVAL STEPS,https://callink.berkeley.edu/actioncenter/organization/BUILTBYGIRLSatBerkeley,LEAD Center Category: Professional RSO,Jon Rey at jonrey@berkeley.edu
145543,(RE)generation: Indigenous Social Welfare Caucus,Inprogress,1,In Progress,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/REgeneration,LEAD Center Category: Cultural & Identity/Cultural & Ethnic RSO,Melissa Landeros at melissalanderos@berkeley.edu
94214,100 Strong: Female Mentorship and Leadership Development,Not Started,1,In Progress,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/100strong,LEAD Center Category: Service RSO,Emily Enriquez at emilyenriquez@berkeley.edu
136978,180 Degrees Consulting at Berkeley,Approved,6,Yes,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/180dcberkeley,LEAD Center Category: Professional RSO,Jon Rey at jonrey@berkeley.edu
91740,1947 Partition Archive at Berkeley,Not Started,1,In Progress,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/1947partitionarchive,LEAD Center Category: Political & Advocacy RSO,Millicent Morris-Chaney at millicen@berkeley.edu
91290,1G at Haas (First-Generation and/or Low-Income Club),Approved,7,Yes,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/1GatHaas,LEAD Center Category: Graduate Student RSO,Jon Rey (Grad RSO OASIS Advisor) at jonrey@berkeley.edu
94219,2024-2025 RSO Training Demonstration Group,Inprogress,2,In Progress,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/2022CallinkDummyGroupforTesting,LEAD Center,"None: For questions, contact OASIS: oasis.center@berkeley.edu, 312 Eshleman"
46634,2048 Project for Human Rights,Not Started,1,In Progress,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/2048project,LEAD Center Category: Political & Advocacy RSO,Millicent Morris-Chaney at millicen@berkeley.edu
144501,24 Hour Theatre,Not Started,0,In Progress,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/24ht,LEAD Center Category: Performing Arts RSO,Luly Sbeta at wsbeta@berkeley.edu
302227,30 Minutes,Not Started,0,In Progress,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/ArtatBerkeley,LEAD Center Category: Arts RSO,Luly Sbeta at wsbeta@berkeley.edu
222008,3D Modeling and Animation at Berkeley,Approved,6,Yes,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/3D-Modeling-and-Animation-at-Berkeley,OASIS Center Category: Academic RSO,Jon Rey at jonrey@berkeley.edu
92133,3DMC,Inprogress,5,In Progress,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/3DMC,LEAD Center Category: Media & Publications RSO,Melissa Landeros at melissalanderos@berkeley.edu
326213,5&2 Community Service,Not Started,0,In Progress,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/5and2,LEAD Center Category: Service RSO,Emily Enriquez at emilyenriquez@berkeley.edu
92150,7 Cups at Berkeley,Not Started,0,In Progress,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/7cupsberkeley,LEAD Center Category: Health & Wellness RSO (moving to various),Millicent Morris-Chaney at millicen@berkeley.edu
91982,A Better Way at Berkeley,Not Started,0,In Progress,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/ABetterWayBerkeley,LEAD Center Category: Service RSO,Emily Enriquez at emilyenriquez@berkeley.edu
91599,A Brighter Tomorrow,Not Started,0,In Progress,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/abrightertomorrow,LEAD Center Category: Health & Wellness RSO (moving to various),Millicent Morris-Chaney at millicen@berkeley.edu
351404,A.N.T.I. : Artistic Nerds 4 Theatre Inclusivity,Approved,4,Yes,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/artisticnerds4theatreinclusivity,LEAD Center Category: Performing Arts RSO,Luly Sbeta at wsbeta@berkeley.edu
164810,"A.S.T.R.O - Astronomer's Society for Teaching, Recreation and Outreach",Not Started,0,In Progress,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/astro,OASIS Center Category: Academic RSO,Jon Rey at jonrey@berkeley.edu
92145,AAAA - Furries at Berkeley,Approved,5,Yes,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/furries-at-berkeley,LEAD Center Category: Recreational RSO,Millicent Morris-Chaney at millicen@berkeley.edu
378040,AAPI (Asian African Pacific Islander) Affinity Group,Inprogress,0,In Progress,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/AAPIAffinityGroup,LEAD Center Category: Graduate Student RSO,Jon Rey (Grad RSO OASIS Advisor) at jonrey@berkeley.edu
91428,ABA,Not Started,4,In Progress,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/aba,LEAD Center Category: Professional RSO,Jon Rey at jonrey@berkeley.edu
59420,Abba Modern,Approved,4,Yes,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/abbamodern,LEAD Center Category: Performing Arts RSO,Luly Sbeta at wsbeta@berkeley.edu
160640,ABC Sketches,Approved,6,Yes,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/abcsketches,LEAD Center Category: Media & Publications RSO,Melissa Landeros at melissalanderos@berkeley.edu
342458,Abolitionist Collective at Berkeley,Not Started,0,In Progress,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/ACAB,LEAD Center Category: Political & Advocacy RSO,Jon Rey (Grad RSO OASIS Advisor) at jonrey@berkeley.edu
361720,Abolitionist Lawyering Project at Berkeley Law,Not Started,0,In Progress,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/abolitionistlawyeringprojectatberkeleylaw,LEAD Center Category: Political & Advocacy RSO,Millicent Morris-Chaney at millicen@berkeley.edu
91630,Acacia,Not Started,0,In Progress,CalGreeks,https://callink.berkeley.edu/actioncenter/organization/acacia,LEAD Center Category: CalGreeks Interfraternity Council (IFC) Fraternities,CalGreeks Advisor Jeffery Woods at jeff.woods@berkeley.edu
46073,"Academian Times, The",Not Started,0,In Progress,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/theacademiantimes,LEAD Center Category: Media & Publications RSO,Melissa Landeros at melissalanderos@berkeley.edu
145478,Academic Cultural Enrichment Coaches,Approved,5,Yes,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/ACECoaches,LEAD Center Category: Service RSO,Emily Enriquez at emilyenriquez@berkeley.edu
289452,AccelerateHer@Berkeley,Not Started,0,In Progress,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/AccelerateHeratBerkeley,LEAD Center Category: Professional RSO,Jon Rey at jonrey@berkeley.edu
343557,Accolade Consulting Group,Not Started,0,In Progress,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/AccoladeConsultingGroup,LEAD Center Category: Professional RSO,Jon Rey at jonrey@berkeley.edu
91787,Accountability and Transparency at Berkeley,Not Started,0,In Progress,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/accountabilityandtransparency,LEAD Center Category: Professional RSO,Jon Rey at jonrey@berkeley.edu
385344,ACEing Autism at Berkeley,Not Started,0,In Progress,NEW ORG PENDING FINAL COMPLETION OF APPROVAL STEPS,https://callink.berkeley.edu/actioncenter/organization/aceingautismatberkeley,LEAD Center Category: Service RSO,Emily Enriquez at emilyenriquez@berkeley.edu
321247,Achievement in Mentorship,Not Started,0,In Progress,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/achievementinmentorship,LEAD Center Category: Service RSO,Emily Enriquez at emilyenriquez@berkeley.edu
91229,Acrobatic Yoga Club,Not Started,1,In Progress,NEW ORG PENDING FINAL COMPLETION OF APPROVAL STEPS,https://callink.berkeley.edu/actioncenter/organization/AcrobaticYogaClub,LEAD Center Category: Recreational RSO,Millicent Morris-Chaney at millicen@berkeley.edu
91783,Active for Alzheimer's at Berkeley,Inprogress,0,In Progress,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/ActiveforAlzheimers,LEAD Center Category: Service RSO,Emily Enriquez at emilyenriquez@berkeley.edu
45986,Active Minds,Not Started,0,In Progress,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/activemindsatberkeley,LEAD Center Category: Service RSO,Jed Lee at jedtlee@berkeley.edu
45854,acts2fellowship,Approved,6,Yes,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/acts2fellowship,LEAD Center Category: Spiritual RSO,Luly Sbeta at wsbeta@berkeley.edu
378039,Adam Smith Society,Not Started,0,In Progress,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/AdamSmithSociety,LEAD Center Category: Graduate Student RSO,Jon Rey (Grad RSO OASIS Advisor) at jonrey@berkeley.edu
